Product,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6
Money_Pot,Organized,Disciplined,Goal-Oriented,Caution,Practical,Strategic
Couple_Pot,Referral,Committed,Engaged,Supportive,Transparent,Trustworthy
SettingBudget,Disciplined,Controllable,Caution,Goal-Oriented,Timely,Strategic
SchedulePayment,Caution,Strategic,Organized,Convenient,Timely,Strategic
Tags,Analytical,Caution,Organized,Disciplined,Accurate,Insightful
Goal_Saves,Organized,Disciplined,Goal-Oriented,Strategic,Patient,Consistent
TermDeposit,Low-risk,Disciplined,Stable,Reliable,Predictable,Secure
CashLoans,Responsible,Self-reliant,Practical,Immediate,Temporary,Flexible
Credit_Card,Self-reliant,Convenient,Impulsive,Flexible,Responsive,Immediate
Investment,Adventurous,Caution,Risk-taker,Opportunistic,Ambitious,Analytical
Insurance,Secured,Stable,Reliable,Predictable,Responsible,Protective
Split_bill,Convenient,Trustworthy,Transparent,Collaborative,Social,Reliable
Gift,Generous,Optimistic,Thoughtful,Practical,Personal,Appreciative
